,dest_lat,dest_lon,est,fromtract,line_no,origi_lat,origi_lon,std_err,totract
0,42.361202700000,-71.007049800000,15,25001010700,1,41.61851720000,-69.98127650000,18,25025981300
1,42.361202700000,-71.007049800000,10,25001010700,2,41.61851720000,-69.98127650000,8,25025981300
2,42.361202700000,-71.007049800000,10,25001010700,8,41.61851720000,-69.98127650000,8,25025981300
3,42.361202700000,-71.007049800000,15,25001011100,1,41.71063110000,-70.03909890000,16,25025981300
4,42.361202700000,-71.007049800000,15,25001011100,2,41.71063110000,-70.03909890000,16,25025981300
5,42.361202700000,-71.007049800000,20,25001011802,1,41.69452830000,-70.21281720000,19,25025981300
6,42.361202700000,-71.007049800000,20,25001011802,2,41.69452830000,-70.21281720000,19,25025981300
7,42.396367000000,-71.004379100000,15,25001012102,1,41.62892750000,-70.25182650000,15,25025981502
8,42.396367000000,-71.004379100000,15,25001012102,2,41.62892750000,-70.25182650000,15,25025981502
9,42.381936800000,-71.029500100000,15,25001012200,1,41.70278360000,-70.31700660000,20,25025050901
10,42.381936800000,-71.029500100000,15,25001012200,2,41.70278360000,-70.31700660000,20,25025050901
11,42.361202700000,-71.007049800000,15,25001012200,1,41.70278360000,-70.31700660000,14,25025981300
12,42.361202700000,-71.007049800000,15,25001012200,2,41.70278360000,-70.31700660000,14,25025981300
13,42.371886400000,-71.037269400000,15,25001013100,1,41.68043800000,-70.42234050000,15,25025050600
14,42.371886400000,-71.037269400000,15,25001013100,3,41.68043800000,-70.42234050000,15,25025050600
15,42.368218400000,-71.037901900000,4,25001013400,1,41.74210200000,-70.43434870000,8,25025050400
16,42.368218400000,-71.037901900000,4,25001013400,2,41.74210200000,-70.43434870000,8,25025050400
17,42.361202700000,-71.007049800000,15,25001013700,1,41.76426300000,-70.59439040000,13,25025981300
18,42.361202700000,-71.007049800000,15,25001013700,8,41.76426300000,-70.59439040000,13,25025981300
19,42.361202700000,-71.007049800000,20,25001014402,1,41.60755430000,-70.61070280000,19,25025981300
20,42.361202700000,-71.007049800000,20,25001014402,2,41.60755430000,-70.61070280000,19,25025981300
21,42.368218400000,-71.037901900000,10,25005600204,1,42.00908290000,-71.13508000000,12,25025050400
22,42.368218400000,-71.037901900000,10,25005600204,2,42.00908290000,-71.13508000000,12,25025050400
23,42.385455600000,-71.004318800000,10,25005613600,1,41.91066650000,-71.09563180000,13,25025051101
24,42.385455600000,-71.004318800000,10,25005613600,10,41.91066650000,-71.09563180000,13,25025051101
25,42.385455600000,-71.004318800000,10,25005613902,1,41.87279420000,-71.11366350000,12,25025051101
26,42.385455600000,-71.004318800000,10,25005613902,2,41.87279420000,-71.11366350000,12,25025051101
27,42.363538600000,-71.032949100000,15,25005614102,1,41.86248560000,-71.01169020000,14,25025051200
28,42.363538600000,-71.032949100000,15,25005614102,2,41.86248560000,-71.01169020000,14,25025051200
29,42.361202700000,-71.007049800000,40,25005630200,1,41.99833780000,-71.30933180000,38,25025981300
30,42.361202700000,-71.007049800000,40,25005630200,2,41.99833780000,-71.30933180000,38,25025981300
31,42.361202700000,-71.007049800000,4,25005630300,1,41.95681710000,-71.36325150000,8,25025981300
32,42.361202700000,-71.007049800000,4,25005630300,2,41.95681710000,-71.36325150000,8,25025981300
33,42.361202700000,-71.007049800000,10,25005631200,1,41.91854770000,-71.33206640000,11,25025981300
34,42.361202700000,-71.007049800000,10,25005631200,2,41.91854770000,-71.33206640000,11,25025981300
35,42.369776600000,-71.033910400000,15,25005631300,1,41.97046880000,-71.28732730000,15,25025050500
36,42.369776600000,-71.033910400000,15,25005631300,2,41.97046880000,-71.28732730000,15,25025050500
37,42.361202700000,-71.007049800000,10,25005640400,1,41.68697720000,-71.18300320000,9,25025981300
38,42.361202700000,-71.007049800000,10,25005640400,3,41.68697720000,-71.18300320000,9,25025981300
39,42.361202700000,-71.007049800000,20,25005640901,1,41.69481750000,-71.16614740000,22,25025981300
40,42.361202700000,-71.007049800000,20,25005640901,2,41.69481750000,-71.16614740000,22,25025981300
41,42.361202700000,-71.007049800000,35,25005641500,1,41.68681270000,-71.12814850000,36,25025981300
42,42.361202700000,-71.007049800000,35,25005641500,3,41.68681270000,-71.12814850000,36,25025981300
43,42.361202700000,-71.007049800000,10,25005642000,1,41.70935080000,-71.15876470000,9,25025981300
44,42.361202700000,-71.007049800000,10,25005642000,3,41.70935080000,-71.15876470000,9,25025981300
45,42.361202700000,-71.007049800000,30,25005644101,1,41.75669030000,-71.14466880000,32,25025981300
46,42.361202700000,-71.007049800000,30,25005644101,8,41.75669030000,-71.14466880000,32,25025981300
47,42.361202700000,-71.007049800000,15,25005645103,1,41.75827870000,-71.24162960000,18,25025981300
48,42.361202700000,-71.007049800000,15,25005645103,2,41.75827870000,-71.24162960000,18,25025981300
49,42.396367000000,-71.004379100000,10,25005650102,1,41.71444980000,-70.94997080000,9,25025981502
50,42.396367000000,-71.004379100000,10,25005650102,2,41.71444980000,-70.94997080000,9,25025981502
51,42.372239200000,-71.043411800000,10,25005650201,1,41.69094640000,-70.95631730000,8,25025050300
52,42.372239200000,-71.043411800000,10,25005650201,5,41.69094640000,-70.95631730000,8,25025050300
53,42.361202700000,-71.007049800000,20,25005651600,1,41.63396130000,-70.94288230000,18,25025981300
54,42.361202700000,-71.007049800000,20,25005651600,3,41.63396130000,-70.94288230000,18,25025981300
55,42.361202700000,-71.007049800000,10,25005652200,1,41.62596860000,-70.94506430000,10,25025981300
56,42.361202700000,-71.007049800000,10,25005652200,2,41.62596860000,-70.94506430000,10,25025981300
